title,type,description,release_year,runtime,genres,production_countries,tmdb_popularity,Actors
Earth and Blood,MOVIE,A sawmill owner and his teenage daughter become tangled in a deadly feud when a drug dealer stashes stolen cocaine on their remote property.,2020,80,'action';'thriller','BE';'FR',17.451,Sami Bouajila;Ériq Ebouaney;Samy Seghir;Sofia Lesaffre;Redouanne Harjane;Eric Kabongo;Oumar Diolo;Anis Benbatoul;Blaise Afonso;Gaëtan Lejeune;Thomas Durcudoy;Eric de Staercke;Carole Weyers;Luc Van Grunderbeeck;Frank Onana;Mario Stasseyns;Lionël Ruzindana;Julien Leclercq
Hello Ninja,SHOW,"When Wesley puts his hands together, bows to his reflection and says the words, ""Hello, Ninja"" his surroundings instantly transform into an enchanting Ninja world.",2019,13,'family';'fantasy';'animation';'action';'comedy','CA',7.582,Lukas Engel
Once Again,MOVIE,"After a chance phone call leads to daily conversations, a widowed restaurant owner and a lonely film actor plan to finally meet in person.",2019,101,'drama';'romance';'european','DE';'IN';'AT',1.484,Neeraj Kabi;Shefali Shah;Priyanshu Painyuli;Rasika Dugal;Bidita Bag;Bhagwan Tiwari;Narendra Jetley;Suparna Marwah;Anuschka Sawhney;Kanwal Sethi
So Much Love to Give,MOVIE,A bigamist with one family in Buenos Aires and the other in Mar del Plata sees his life turned upside down when his wives discover what he has hidden from them for so many years and unite to take revenge.,2020,108,'comedy','AR',8.255,Adrián Suar;Soledad Villamil;Gabriela Toscano;Alan Sabbagh;Darío Barassi;Magela Zanotta;Betiana Blum;Agustina Benavides;Renata Toscano Bruzón;Joaquín Nicolás Rescigno;Juan Sebastián Cruz;Amanda Busnelli;Fernando Ritucci;Marcos Carnevale
True: Terrific Tales,SHOW,"Through the magic of the Story Spinner, True and her friends create their own versions of Pinocchio, Little Red Riding Hood and other classic tales.",2020,8,'animation';'family','US',2.148,Michela Luci;Eric Peterson;Jamie Watson
Dragons: Rescue Riders: Hunt for the Golden Dragon,MOVIE,"The Rescue Riders have been asked to find a precious golden dragon egg, and keep it safe from evil pirates.",2020,46,'animation';'action';'comedy';'family';'fantasy','US',7.16,Noah Kaye Bentley;Zach Callison;Nicolas Cantu;Skai Jackson;Marsai Martin;Andre Robinson;Carlos Alazraqui;Jeff Bennett;Mary Elizabeth McGlynn;Brennley Brown;Johnny Belt;Jack C. Thomas
Intuition,MOVIE,"Police officer Pipa works on her first big case while simultaneously investigating her boss, who is suspected of murder. The prequel to ""Perdida"".",2020,116,'thriller';'crime';'drama','AR',15.292,Luisana Lopilato;Joaquín Furriel;Rafael Ferro;Maite Lanata;Juan Manuel Guilera;Abel Ayala;Sebastián Mogordoy;Delfina Chaves;Marita Ballesteros;Miriam Odorico;Militta Bora;Ignacio Hernández;Leonardo Parada;Natalia Figueiras;Tomás Wicz;Alejandro Montiel
Still Laugh-In: The Stars Celebrate,MOVIE,"Hollywood's finest pay tribute to ""Rowan and Martin's Laugh-In"" for an uncensored and unforgettable celebration at The Dolby Theater.",2019,60,'comedy';'music',,2.988,Tiffany Haddish;Michael Douglas;Lily Tomlin;Snoop Dogg;Neil Patrick Harris;Rita Moreno;Taye Diggs;Natasha Leggero;Billy Crystal;Tony Hale;Rita Wilson;Rob Riggle;Jon Lovitz;Lisa Ann Walter;Cheri Oteri;Jay Leno;Margaret Cho;Bobby Moynihan;Jo Anne Worley;Brad Garrett;Ruth Buzzi;Nikki Glaser;Maria Bamford;J.B. Smoove;Ron Funches;Jeff Ross;Henry Dittman;Jameela Jamil;Michael Rapaport;Kenya Barris;Chelsea Handler;Mary McCormack;Bill Maher
Mi amigo Alexis,MOVIE,"When a young soccer fan and his idol forge an unexpected friendship, the connection teaches them both lessons about life and their love of the game.",2019,100,'drama';'family';'comedy';'sport','CL',5.082,Luciano González;Alexis Sánchez;Marco Baeza;Daniel Muñoz;Manuela Oyarzún;Alejandra Yañez;Alejandro Trejo;Eduardo Paxeco;Lukas Ortiz;Camilo Carmona;Daniel Candia;Lorna Campos;Iván Álvarez de Araya;Nathalia Aragonese;Aldo Parodi;Otilio Castro;Alejandro Fernández Almendras
Vir Das: For India,MOVIE,"From the Vedas to Vasco de Gama to vacuous Bollywood plotlines, comedian Vir Das celebrates the history of India with his one-of-a-kind perspective.",2020,75,'comedy','IN',2.277,Vir Das;Vir Das;Ajay Bhuyan
